ticker,asset_type,bucket,reason
SPY,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
VOO,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
IVV,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
VTI,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
QQQ,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
QQQM,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
DIA,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
IWM,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
MDY,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
RSP,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
SPLG,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
SCHX,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
SCHG,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
VUG,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
IWF,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
VTV,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
IWD,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
IJR,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
IJS,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
VB,ETF,Core index / style ETFs,Broad market and style leadership; useful for spotting major rotation and breakout bases
XLB,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLC,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLE,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLF,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLI,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLK,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLP,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLRE,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLU,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLV,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
XLY,ETF,SPDR sector ETFs,All 11 major S&P sector ETFs; good first-pass sector breakout screen
IAK,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
KIE,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
IAT,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
KRE,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
KBE,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
KBWB,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
KBWR,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
IAI,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
KCE,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
IYF,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
VFH,ETF,Financials / insurance / banks,IAK-style sector/industry breakout candidates
SMH,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
SOXX,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
SOXQ,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
PSI,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
IGV,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
SKYY,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
CIBR,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
HACK,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
WCLD,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
FDN,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
ARKK,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
BOTZ,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
ROBO,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
AIQ,ETF,Tech / semis / software / AI,High-momentum industries where consolidation breakouts can produce strong follow-through
